ROWNUM, X, Y, FEEDER
1,288431.549,2760157.1000000001,5A21
2,288426.03600000002,2760227.781,5A21
3,288300.61200000002,2760803.9449999998,5A21
4,288361.87199999997,2760748.5869999998,5A21
5,288279.79800000001,2760720.889,5A21
6,288148.85999999999,2760087.338,5A21
7,288329.038,2760021.0290000001,5A21
8,288095.77100000001,2760203.142,5A21
9,288180.114,2760273.5550000002,5A21
10,288241.90700000001,2760060.764,5A21
11,288380.90500000003,2760136.5600000001,5A21
12,288292.84899999999,2760963.6290000002,5A21
13,288463.283,2760076.3319999999,5A21
14,288335.00900000002,2760237.77,5A21
15,287810.65000000002,2759654.2009999999,5A22
16,288708.79700000002,2759827.9300000002,5A22
17,289263.54599999997,2760003.4330000002,5A22
18,288866.40399999998,2759962.4759999998,5A22
19,288955.74099999998,2760072.3429999999,5A22
20,287913.56699999998,2759622.4939999999,5A22
21,289146.10600000003,2759964.395,5A22
22,288714.42300000001,2759774.8110000002,5A22
23,288651.89899999998,2759549.0970000001,5A22
24,289050.88699999999,2759889.574,5A22
25,289250.78700000001,2760161.9249999998,5A22
26,288070.88799999998,2759571.3730000001,5A22
27,288840.48999999999,2759850.1090000002,5A22
28,288971.88799999998,2760126.415,5A22
29,288014.15000000002,2759655.173,5A22
30,289427.20299999998,2760053.199,5A22
31,288670.01899999997,2759694.0989999999,5A22
32,287783.30499999999,2759662.3360000001,5A22
33,288141.99699999997,2759749.9479999999,5A22
34,289027.739,2759659.6290000002,5A22
35,288536.64399999997,2759913.9810000001,5A22
36,289339.89299999998,2760030.0070000002,5A22
37,287604.66100000002,2759660.375,5A22
38,289128.53600000002,2759877.0989999999,5A22
39,288499.02600000001,2759657.6159999999,5A22
40,288773.30699999997,2759855.8459999999,5A22
41,289093.68599999999,2759996.3709999998,5A22
42,288537.46100000001,2759680.102,5A22
43,288909.158,2759857.5240000002,5A22
44,288996.04599999997,2759745.625,5A22
45,288134.08000000002,2759602.4169999999,5A22
46,288894.98300000001,2759971.2140000002,5A22
47,288275.75199999998,2759709.2000000002,5A22
48,287703.75900000002,2759659.9819999998,5A22
49,288591.88900000002,2759745.477,5A22
50,289298.57000000001,2760002.355,5A22
51,288735.88699999999,2759586.3110000002,5A22
52,288877.87900000002,2759446.2570000002,5A22
53,289165.58799999999,2760002.7620000001,5A22
54,288559.37800000003,2759893.9569999999,5A22
55,288339.45699999999,2759684.5120000001,5A22
56,289067.33000000002,2760009.9500000002,5A22
57,288874.61700000003,2759736.4500000002,5A22
58,289350.38299999997,2759986.8960000002,5A22
59,289179.245,2760166.7059999998,5A22
60,288963.20400000003,2759696.969,5A22
61,288375.52000000002,2759554.656,5A22
62,288809.48300000001,2759680.8679999998,5A22
63,288696.163,2760750.9019999998,5A23
64,288439.68599999999,2760788.5010000002,5A23
65,288510.66499999998,2760752.1200000001,5A23
66,288736.88,2760755.5639999998,5A23
67,291168.40999999997,2763274.3530000001,5A24
68,290887.717,2763037.5150000001,5A24
