ROWNUM, X, Y, FEEDER
﻿1,206417.70600000001,2652084.361,9C33
﻿2,205338.93900000001,2651869.5210000002,9C33
﻿3,202677.37400000001,2654337.4160000002,9C41
﻿4,184334.64999999999,2653125.4720000001,9G23
﻿5,196129.26199999999,2655373.108,9J12
﻿6,196996.14199999999,2649237.9959999998,9M20
﻿7,208665.02100000001,2663180.4819999998,9N24
﻿8,202525.39300000001,2659776.3509999998,9P11
﻿9,213921.736,2647237.9720000001,AA22
﻿10,215026.35399999999,2647810.23,AA22
﻿11,214910.33799999999,2648131.5150000001,AA22
﻿12,214535.478,2648243.281,AA22
﻿13,214464.427,2648191.0780000002,AA22
﻿14,214531.992,2648020.2519999999,AA22
﻿15,214803.88399999999,2647828.6880000001,AA22
﻿16,214205.65900000001,2647713.25,AA22
﻿17,213595.84400000001,2647252.4330000002,AA22
﻿18,214817.83199999999,2647790.898,AA22
﻿19,214328.239,2647827.179,AA22
﻿20,213447.00200000001,2647327.5819999999,AA22
﻿21,213713.20600000001,2647406.6660000002,AA22
﻿22,214071.723,2647300.0950000002,AA22
﻿23,214550.87,2648318.2609999999,AA22
﻿24,214073.05499999999,2647669.585,AA22
﻿25,214968.481,2648011.486,AA22
﻿26,213900.07699999999,2647989.3420000002,AA22
﻿27,214508.91399999999,2648349.1230000001,AA22
﻿28,213935.878,2647520.0129999998,AA22
﻿29,213954.266,2647903.4539999999,AA22
﻿30,214269.071,2647839.5290000001,AA22
﻿31,214008.10200000001,2648052.7590000001,AA22
﻿32,214799.54000000001,2647938.3470000001,AA22
﻿33,214505.69,2648301.8250000002,AA22
﻿34,213901.07399999999,2647372.2850000001,AA22
﻿35,214198.837,2647865.9339999999,AA22
﻿36,214037.55799999999,2647939.3029999998,AA22
﻿37,214902.04199999999,2647757.0729999999,AA22
﻿38,214501.068,2647982.9440000001,AA22
﻿39,214941.978,2647969.52,AA22
﻿40,214563.94699999999,2647972.6549999998,AA22
﻿41,213609.484,2647072.9130000002,AA22
﻿42,214412.337,2648041.2289999998,AA22
﻿43,213870.38,2647138.9879999999,AA22
