ROWNUM, X, Y, FEEDER
﻿1,277912.39799999999,2672520.784,HN31
﻿2,282652.61200000002,2675977.946,HN31
﻿3,278063.27899999998,2670967.2459999998,HN31
﻿4,283775.10499999998,2675872.557,HN31
﻿5,278356.261,2670738.8709999998,HN31
﻿6,280779.587,2675265.9070000001,HN31
﻿7,280865.36700000003,2675251.4879999999,HN31
﻿8,279608.38099999999,2674505.6320000002,HN31
﻿9,283585.14600000001,2675911.9900000002,HN31
﻿10,279503.10200000001,2674710.139,HN31
﻿11,279644.663,2674916.415,HN31
﻿12,281020.61599999998,2675135.6940000001,HN31
﻿13,279579.065,2673878.3130000001,HN31
﻿14,283678.54300000001,2676064.7340000002,HN31
﻿15,279507.75699999998,2674370.8130000001,HN31
﻿16,280631.57400000002,2675251.5120000001,HN31
﻿17,282239.37599999999,2675402.1090000002,HN31
﻿18,278224.21100000001,2670823.8020000001,HN31
﻿19,283529.26199999999,2676070.4649999999,HN31
﻿20,283876.23300000001,2675801.5800000001,HN31
﻿21,280909.315,2675288.878,HN31
﻿22,310205.03100000002,2652493.986,PA21
﻿23,310186.18599999999,2652821.7319999998,PA21
﻿24,310382.15700000001,2653089.4619999998,PA21
﻿25,310224.09600000002,2652850.091,PA21
﻿26,310421.45600000001,2652621.327,PA21
﻿27,309765.5,2652934.3250000002,PA21
﻿28,309963.82799999998,2652961.023,PA21
﻿29,309916.78100000002,2653131.5040000002,PA21
﻿30,310079.27899999998,2652749.4270000001,PA21
﻿31,310183.97899999999,2652596.8640000001,PA21
﻿32,310335.98300000001,2653114.2050000001,PA21
﻿33,309792.09499999997,2652552.1340000001,PA21
﻿34,310268.70600000001,2652613.537,PA21
﻿35,309612.886,2652970.1329999999,PA21
﻿36,309971.19,2652610.2230000002,PA21
﻿37,310088.65000000002,2652512.0580000002,PA21
﻿38,310190.902,2652372.2409999999,PA21
﻿39,309980.19900000002,2652469.0619999999,PA21
﻿40,310196.08100000001,2652575.7009999999,PA21
﻿41,309632.78100000002,2652754.3810000001,PA21
﻿42,310055.73499999999,2652611.571,PA21
﻿43,310019.05300000001,2653052.4449999998,PA21
﻿44,309835.64799999999,2652901.2880000002,PA21
﻿45,310259.29599999997,2652962.6340000001,PA21
﻿46,309864.24200000003,2653068.6069999998,PA21
﻿47,309982.723,2652854.9580000001,PA21
﻿48,310303.22600000002,2652996.969,PA21
﻿49,310084.80599999998,2652428.7570000002,PA21
﻿50,310059.59899999999,2652829.301,PA21
﻿51,309815.13,2652565.1809999999,PA21
﻿52,310197.35600000003,2652784.6200000001,PA21
﻿53,309926.467,2653007.2179999999,PA21
﻿54,309815.52299999999,2653138.7629999998,PA21
﻿55,309703.66499999998,2652847.7659999998,PA21
﻿56,310033.908,2652940.9199999999,PA21
﻿57,310438.842,2653091.4500000002,PA21
﻿58,310396.076,2652618.6719999998,PA21
﻿59,309692.58799999999,2652883.477,PA21
﻿60,310245.092,2653173.6779999998,PA21
﻿61,310155.12900000002,2652543.0279999999,PA21
﻿62,310415.14299999998,2652864.125,PA22
﻿63,310520.15100000001,2653107.8760000002,PA22
﻿64,310705.78700000001,2653252.077,PA22
﻿65,310361.391,2652983.213,PA22
﻿66,310804.35600000003,2653059.5359999998,PA22
﻿67,310615.03999999998,2653239.9739999999,PA22
﻿68,310371.44,2653174.5290000001,PA22
﻿69,310747.09100000001,2652972.8020000001,PA22
﻿70,310296.88400000002,2653086.798,PA22
﻿71,310618.375,2652944.622,PA22
﻿72,310374.45899999997,2652808.7080000001,PA22
﻿73,310453.11900000001,2653044.3560000001,PA22
﻿74,310777.18199999997,2653095.21,PA22
﻿75,310705.43400000001,2653329.6430000002,PA22
﻿76,310563.967,2653093.1189999999,PA22
﻿77,310541.97499999998,2652672.6860000002,PA22
﻿78,310427.103,2653213.5320000001,PA22
﻿79,310535.37900000002,2653207.8309999998,PA22
﻿80,310300.967,2652916.5980000002,PA22
﻿81,310614.32400000002,2652872.196,PA22
﻿82,310357.36700000003,2653307.5380000002,PA22
﻿83,310484.56199999998,2653116.3390000002,PA22
﻿84,310431.57900000003,2652961.898,PA22
﻿85,310376.05099999998,2652794.6770000001,PA22
﻿86,310534.98200000002,2652709.6660000002,PA22
﻿87,310410.43300000002,2653359.1940000001,PA22
﻿88,310707.95600000001,2653037.531,PA22
﻿89,310502.44300000003,2652756.966,PA22
﻿90,310386.25400000002,2653212.503,PA22
﻿91,310507.42599999998,2652881.0929999999,PA22
﻿92,309190.51500000001,2654173.699,PA23
﻿93,309215.05499999999,2654020.3130000001,PA23
﻿94,309540.91200000001,2654552.1269999999,PA23
﻿95,309331.62800000003,2653850.835,PA23
﻿96,309346.02100000001,2654321.0040000002,PA23
﻿97,309359.71600000001,2654203.0789999999,PA23
﻿98,309362.69300000003,2653926.8799999999,PA23
﻿99,309680.49900000001,2654735.9160000002,PA23
